customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score
C100049,2025-05-25,4,11089.0,113,3,2,3,323
C100050,2025-05-07,3,2149.0,131,3,1,1,311
C100051,2024-10-14,4,5803.0,336,1,2,2,122
C100052,2024-04-08,1,2482.0,525,1,1,1,111
C100053,2024-07-19,1,2660.0,423,1,1,1,111
C100054,2025-03-11,6,10887.0,188,2,4,3,243
C100055,2025-05-11,4,9738.0,127,3,2,3,323
C100056,2024-07-16,3,6628.0,426,1,1,2,112
C100057,2025-04-30,1,7527.0,138,3,1,2,312
C100058,2025-08-07,7,13465.0,39,4,4,3,443
C100059,2025-08-18,2,5492.0,28,4,1,2,412
C100060,2025-05-08,3,7772.0,130,3,1,2,312
C100061,2025-08-19,9,16960.0,27,4,4,4,444
C100062,2025-09-05,5,7160.0,10,4,3,2,432
C100063,2023-11-23,1,1249.0,662,1,1,1,111
C100064,2025-04-04,3,16353.0,164,2,1,4,214
C100065,2025-09-06,5,7907.0,9,4,3,2,432
C100066,2025-08-29,5,9538.0,17,4,3,3,433
C100067,2023-12-01,4,7529.0,654,1,2,2,122
C100068,2025-09-10,6,12649.0,5,4,4,3,443
C100069,2024-01-04,3,10606.0,620,1,1,3,113
C100070,2024-07-04,3,4392.0,438,1,1,1,111
C100071,2025-05-11,8,12813.0,127,3,4,3,343
C100072,2023-07-18,1,3312.0,790,1,1,1,111
C100073,2025-06-01,5,9665.0,106,3,3,3,333
C100074,2025-03-14,3,3499.0,185,2,1,1,211
C100075,2024-06-30,2,3907.0,442,1,1,1,111
C100076,2025-06-29,3,9290.0,78,3,1,3,313
C100077,2024-10-10,3,3107.0,340,1,1,1,111
C100078,2025-09-12,7,15397.0,3,4,4,4,444
C100079,2024-10-30,4,9681.0,320,1,2,3,123
C100080,2024-03-30,4,8132.0,534,1,2,2,122
C100081,2025-01-19,8,23977.0,239,2,4,4,244
C100082,2025-05-05,1,1440.0,133,3,1,1,311
C100083,2024-11-09,5,7094.0,310,2,3,2,232
C100084,2025-07-17,7,23959.0,60,4,4,4,444
C100085,2024-12-30,5,11744.0,259,2,3,3,233
C100086,2024-11-18,3,7302.0,301,2,1,2,212
C100087,2025-02-12,4,9414.0,215,2,2,3,223
C100088,2025-09-01,2,2400.0,14,4,1,1,411
C100089,2024-10-20,5,9839.0,330,1,3,3,133
C100090,2023-07-27,1,2796.0,781,1,1,1,111
C100091,2025-08-10,8,19399.0,36,4,4,4,444
C100092,2025-09-08,5,16969.0,7,4,3,4,434
C100093,2025-06-08,1,3184.0,99,3,1,1,311
C100094,2025-04-23,4,9796.0,145,3,2,3,323
C100095,2025-04-07,3,4467.0,161,2,1,1,211
C100096,2025-09-06,3,3993.0,9,4,1,1,411
C100097,2024-06-20,2,4161.0,452,1,1,1,111
C100098,2025-07-03,7,16479.0,74,3,4,4,344
C100099,2025-08-22,3,4751.0,24,4,1,1,411
C100100,2024-09-13,7,16627.0,367,1,4,4,144
C100101,2025-02-25,2,1628.0,202,2,1,1,211
C100102,2024-10-10,3,6328.0,340,1,1,2,112
C100103,2023-07-14,1,2026.0,794,1,1,1,111
C100104,2025-08-03,10,13062.0,43,4,4,3,443
C100105,2025-01-08,6,17789.0,250,2,4,4,244
C100106,2025-01-23,5,9883.0,235,2,3,3,233
C100107,2025-09-13,3,6200.0,2,4,1,2,412
C100108,2024-05-28,2,5368.0,475,1,1,1,111
C100109,2025-03-31,5,7926.0,168,2,3,2,232
C100110,2025-07-15,5,18231.0,62,4,3,4,434
C100111,2025-09-02,10,29558.0,13,4,4,4,444
C100112,2025-09-09,4,14333.0,6,4,2,4,424
C100113,2025-06-08,3,8712.0,99,3,1,2,312
C100114,2025-07-01,6,29965.0,76,3,4,4,344
C100115,2025-06-06,1,1459.0,101,3,1,1,311
C100116,2025-02-25,5,10701.0,202,2,3,3,233
C100117,2025-06-17,4,4938.0,90,3,2,1,321
C100118,2023-07-17,2,4608.0,791,1,1,1,111
C100119,2024-11-17,2,3653.0,302,2,1,1,211
C100120,2024-03-18,3,6917.0,546,1,1,2,112
C100121,2025-01-13,4,9406.0,245,2,2,3,223
C100122,2025-09-12,6,19854.0,3,4,4,4,444
C100123,2025-05-02,3,10512.0,136,3,1,3,313
C100124,2024-11-19,2,7055.0,300,2,1,2,212
C100125,2025-09-09,4,8155.0,6,4,2,2,422
C100126,2025-02-11,2,4293.0,216,2,1,1,211
C100127,2025-07-25,2,4144.0,52,4,1,1,411
C100128,2025-07-24,6,10177.0,53,4,4,3,443
C100129,2025-06-23,3,19398.0,84,3,1,4,314
C100130,2023-06-18,2,2044.0,820,1,1,1,111
C100131,2025-09-06,5,16094.0,9,4,3,4,434
C100132,2024-12-26,11,21152.5,263,2,4,4,244
C100133,2025-05-30,3,3453.0,108,3,1,1,311
C100134,2024-11-02,2,9714.0,317,2,1,3,213
C100135,2025-06-28,7,22699.0,79,3,4,4,344
C100136,2025-02-23,3,9711.0,204,2,1,3,213
C100137,2025-05-07,3,5276.0,131,3,1,1,311
C100138,2024-10-17,6,14214.0,333,1,4,4,144
C100139,2025-04-21,1,674.0,147,3,1,1,311
C100140,2025-06-27,1,2598.0,80,3,1,1,311
C100141,2025-06-08,4,6449.0,99,3,2,2,322
C100142,2025-06-27,3,6928.0,80,3,1,2,312
C100143,2025-05-13,3,6731.0,125,3,1,2,312
C100144,2025-07-14,2,2262.0,63,4,1,1,411
C100145,2025-04-07,3,7341.0,161,2,1,2,212
C100146,2025-07-04,4,9251.0,73,3,2,3,323
C100147,2024-06-08,3,10483.0,464,1,1,3,113
C100148,2025-04-23,8,19834.0,145,3,4,4,344
C100149,2025-03-20,2,1741.0,179,2,1,1,211
C100150,2025-07-20,2,6461.0,57,4,1,2,412
C100151,2025-05-18,4,14303.0,120,3,2,4,324
C100152,2024-04-08,2,6578.0,525,1,1,2,112
C100153,2025-01-04,2,3654.0,254,2,1,1,211
C100154,2025-01-27,5,14921.0,231,2,3,4,234
C100155,2025-08-07,4,5160.0,39,4,2,1,421
C100156,2025-08-01,2,3338.0,45,4,1,1,411
C100157,2025-05-06,5,17579.0,132,3,3,4,334
C100158,2025-02-14,5,13990.0,213,2,3,4,234
C100159,2025-04-01,3,5499.0,167,2,1,2,212
C100160,2025-03-02,4,8886.0,197,2,2,2,222
C100161,2025-07-13,6,15794.0,64,4,4,4,444
C100162,2025-06-23,2,5344.0,84,3,1,1,311
C100163,2024-11-21,1,1582.0,298,2,1,1,211
C100164,2025-02-01,5,16611.0,226,2,3,4,234
C100165,2025-02-27,5,7853.0,200,2,3,2,232
C100166,2025-08-30,6,12404.0,16,4,4,3,443
C100167,2025-08-15,4,16634.0,31,4,2,4,424
C100168,2024-11-04,6,15046.0,315,2,4,4,244
C100169,2023-12-09,1,1276.0,646,1,1,1,111
C100170,2024-11-15,4,7869.0,304,2,2,2,222
C100171,2025-04-29,6,10289.0,139,3,4,3,343
C100172,2025-07-17,5,9674.0,60,4,3,3,433
C100173,2023-02-12,1,539.0,946,1,1,1,111
C100174,2025-03-01,6,15626.0,198,2,4,4,244
C100175,2025-09-12,4,14752.0,3,4,2,4,424
C100176,2025-06-05,4,8861.0,102,3,2,2,322
C100177,2025-08-28,3,9593.0,18,4,1,3,413
C100178,2024-01-25,4,20639.0,599,1,2,4,124
C100179,2024-11-05,4,15036.0,314,2,2,4,224
C100180,2025-09-12,4,10940.0,3,4,2,3,423
C100181,2024-05-26,5,16981.0,477,1,3,4,134
C100182,2025-06-26,3,5463.0,81,3,1,2,312
C100183,2023-10-05,2,2693.0,711,1,1,1,111
C100184,2025-02-19,6,13137.0,208,2,4,3,243
C100185,2025-06-03,3,3955.0,104,3,1,1,311
C100186,2025-08-28,3,5148.0,18,4,1,1,411
C100187,2024-08-02,3,6952.0,409,1,1,2,112
C100188,2025-07-08,3,20140.0,69,3,1,4,314
C100189,2024-08-16,1,892.0,395,1,1,1,111
C100190,2025-06-08,5,6734.0,99,3,3,2,332
C100191,2025-08-04,6,11636.0,42,4,4,3,443
C100192,2025-07-25,4,9171.0,52,4,2,2,422
C100193,2024-06-02,2,1331.0,470,1,1,1,111
C100194,2023-04-11,1,3272.0,888,1,1,1,111
C100195,2024-05-10,2,5923.0,493,1,1,2,112
C100196,2025-01-26,4,9113.0,232,2,2,2,222
C100197,2025-03-26,4,7148.0,173,2,2,2,222
C100198,2023-01-13,1,2361.0,976,1,1,1,111
C100199,2025-04-04,3,7800.0,164,2,1,2,212
C100201,2025-08-02,6,16230.0,44,4,4,4,444
C100202,2025-09-07,3,10951.0,8,4,1,3,413
C100203,2025-04-18,5,10764.0,150,3,3,3,333
C100204,2024-12-01,4,7137.0,288,2,2,2,222
C100205,2024-10-23,3,4839.0,327,1,1,1,111
C100206,2025-05-20,7,24960.0,118,3,4,4,344
C100207,2025-06-06,5,20352.0,101,3,3,4,334
C100208,2024-07-11,4,11813.0,431,1,2,3,123
C100209,2025-07-16,7,21432.0,61,4,4,4,444
C100210,2023-05-27,2,2214.0,842,1,1,1,111
C100211,2025-02-17,3,2985.0,210,2,1,1,211
C100212,2025-07-08,4,9264.0,69,3,2,3,323
C100213,2025-08-02,4,7866.0,44,4,2,2,422
C100214,2024-11-11,5,14682.0,308,2,3,4,234
C100215,2025-06-23,4,9033.0,84,3,2,2,322
C100216,2025-03-28,7,14272.0,171,2,4,4,244
C100217,2023-04-10,1,1237.0,889,1,1,1,111
C100218,2024-04-04,2,3274.0,529,1,1,1,111
C100219,2025-09-10,5,9521.0,5,4,3,3,433
C100220,2025-08-31,5,14166.0,15,4,3,4,434
C100221,2025-09-10,3,7139.0,5,4,1,2,412
C100222,2025-09-11,8,19161.0,4,4,4,4,444
C100223,2024-10-20,3,12186.0,330,1,1,3,113
C100224,2025-04-20,4,8200.0,148,3,2,2,322
C100225,2025-03-15,6,14287.0,184,2,4,4,244
C100226,2024-02-07,2,4977.0,586,1,1,1,111
C100227,2024-11-21,5,10559.0,298,2,3,3,233
C100228,2025-05-15,5,10132.0,123,3,3,3,333
C100229,2025-03-03,3,13192.0,196,2,1,3,213
C100230,2025-08-25,6,11277.0,21,4,4,3,443
C100231,2025-05-01,2,2701.0,137,3,1,1,311
C100232,2025-07-05,3,4009.0,72,3,1,1,311
C100233,2025-06-06,8,20466.0,101,3,4,4,344
C100234,2025-07-17,5,9521.0,60,4,3,3,433
C100235,2025-04-24,4,6354.0,144,3,2,2,322
C100236,2025-08-28,4,9502.0,18,4,2,3,423
C100237,2025-08-14,2,3703.0,32,4,1,1,411
C100238,2025-03-07,3,5054.0,192,2,1,1,211
C100239,2024-07-11,4,9832.0,431,1,2,3,123
C100240,2024-10-31,2,2349.0,319,1,1,1,111
C100241,2024-03-30,4,9437.0,534,1,2,3,123
C100242,2025-06-01,2,7540.0,106,3,1,2,312
C100243,2025-07-18,3,15310.0,59,4,1,4,414
C100244,2025-03-20,6,17216.0,179,2,4,4,244
C100245,2024-12-31,6,12066.0,258,2,4,3,243
C100246,2025-05-24,6,13385.0,114,3,4,3,343
C100247,2025-02-14,2,6153.0,213,2,1,2,212
C100248,2024-07-07,4,10284.0,435,1,2,3,123
C100249,2025-03-14,2,2954.0,185,2,1,1,211
C100250,2025-07-22,3,12068.0,55,4,1,3,413
C100252,2025-07-08,9,18814.0,69,3,4,4,344
C100253,2025-07-31,7,11355.0,46,4,4,3,443
C100254,2025-05-16,3,7695.0,122,3,1,2,312
C100255,2025-01-29,4,10792.0,229,2,2,3,223
C100256,2025-06-30,9,23727.0,77,3,4,4,344
C100257,2024-08-28,3,3244.0,383,1,1,1,111
C100258,2025-07-24,10,27661.0,53,4,4,4,444
C100259,2024-09-01,4,16022.0,379,1,2,4,124
C100260,2025-03-17,3,3470.0,182,2,1,1,211
C100261,2025-02-04,3,8107.0,223,2,1,2,212
C100263,2025-02-25,2,3504.0,202,2,1,1,211
C100264,2025-03-17,4,10530.0,182,2,2,3,223
C100265,2024-10-22,2,1939.0,328,1,1,1,111
C100266,2024-06-12,4,3234.0,460,1,2,1,121
C100267,2025-07-03,5,11534.0,74,3,3,3,333
C100268,2025-03-21,4,4971.0,178,2,2,1,221
C100269,2024-04-18,4,9005.0,515,1,2,2,122
C100270,2024-11-04,10,26052.0,315,2,4,4,244
C100271,2025-01-18,5,19503.0,240,2,3,4,234
C100272,2025-04-24,4,10089.0,144,3,2,3,323
C100273,2023-11-15,2,2100.0,670,1,1,1,111
C100274,2025-07-08,6,18125.0,69,3,4,4,344
C100275,2025-06-15,6,14095.0,92,3,4,4,344
C100276,2025-06-01,5,12343.0,106,3,3,3,333
C100277,2025-08-20,7,25736.0,26,4,4,4,444
C100278,2024-09-22,3,10855.0,358,1,2,3,123
C100279,2025-08-11,3,4132.0,35,4,2,1,421
C100280,2024-12-08,4,11432.0,281,2,2,3,223
C100281,2025-09-13,4,6783.0,2,4,2,2,422
C100282,2025-08-30,6,11647.0,16,4,4,3,443
C100283,2024-03-10,4,13455.0,554,1,2,3,123
C100284,2025-07-30,3,3672.0,47,4,2,1,421
C100285,2025-06-25,4,15550.0,82,3,2,4,324
C100286,2025-04-13,3,4836.0,155,3,2,1,321
C100287,2025-08-27,5,13629.0,19,4,3,3,433
C100288,2024-12-31,4,9218.0,258,2,2,2,222
C100289,2023-11-22,4,5606.0,663,1,2,2,122
C100291,2025-09-11,2,6719.0,4,4,1,2,412
C100292,2025-07-26,5,20625.0,51,4,3,4,434
C100293,2025-08-12,2,5744.0,34,4,1,2,412
C100294,2025-05-07,4,11561.0,131,3,2,3,323
C100295,2025-05-20,1,2688.0,118,3,1,1,311
C100296,2023-09-04,4,8969.0,742,1,2,2,122
C100298,2025-02-10,6,25163.0,217,2,4,4,244
C100299,2025-01-20,3,4355.0,238,2,2,1,221
C100300,2023-05-24,1,787.0,845,1,1,1,111
C100301,2025-08-26,5,10781.0,20,4,3,3,433
C100302,2025-09-04,5,14308.0,11,4,3,4,434
C100303,2025-08-30,6,10981.0,16,4,4,3,443
C100304,2023-12-21,2,4615.0,634,1,1,1,111
C100305,2024-11-11,2,3763.0,308,2,1,1,211
C100306,2025-06-01,10,20378.0,106,3,4,4,344
C100307,2025-05-17,6,19278.0,121,3,4,4,344
C100308,2024-03-02,2,8019.0,562,1,1,2,112
C100309,2025-08-03,5,11424.0,43,4,3,3,433
C100310,2024-04-20,4,21249.0,513,1,2,4,124
C100311,2025-08-17,2,2626.0,29,4,1,1,411
C100312,2024-10-08,3,11375.0,342,1,2,3,123
C100313,2025-09-09,4,5223.0,6,4,2,1,421
C100314,2024-07-28,2,2812.0,414,1,1,1,111
C100315,2024-06-15,2,2076.0,457,1,1,1,111
C100316,2025-08-19,6,11348.0,27,4,4,3,443
C100317,2025-04-24,3,5585.0,144,3,2,2,322
C100318,2025-03-06,5,17330.0,193,2,3,4,234
C100319,2025-02-14,7,23225.0,213,2,4,4,244
C100320,2024-01-10,3,7939.0,614,1,2,2,122
C100321,2024-11-03,1,784.0,316,2,1,1,211
C100322,2024-12-10,2,3336.0,279,2,1,1,211
C100323,2024-08-29,3,8223.0,382,1,2,2,122
C100324,2025-06-05,5,14242.0,102,3,3,4,334
C100325,2025-07-13,5,10615.0,64,4,3,3,433
C100326,2024-03-18,2,7462.0,546,1,1,2,112
C100327,2024-10-14,1,6618.0,336,1,1,2,112
C100328,2025-04-05,6,18393.0,163,2,4,4,244
C100329,2025-07-25,6,13938.0,52,4,4,4,444
C100330,2025-06-22,3,7756.0,85,3,2,2,322
C100331,2025-05-18,4,5685.0,120,3,2,2,322
C100332,2025-08-25,7,14525.0,21,4,4,4,444
C100333,2025-04-05,4,16109.0,163,2,2,4,224
C100334,2024-07-27,3,5872.0,415,1,2,2,122
C100335,2025-04-23,5,8335.0,145,3,3,2,332
C100336,2023-10-30,1,3081.0,686,1,1,1,111
C100337,2025-06-18,4,9294.0,89,3,2,3,323
C100338,2025-04-27,4,14424.0,141,3,2,4,324
C100339,2024-12-31,5,12735.0,258,2,3,3,233
C100340,2025-05-03,4,12160.0,135,3,2,3,323
C100341,2024-09-21,1,2170.0,359,1,1,1,111
C100342,2025-07-02,2,3792.0,75,3,1,1,311
C100343,2025-04-19,7,15237.0,149,3,4,4,344
C100344,2025-07-31,2,6258.0,46,4,1,2,412
C100345,2025-07-03,2,7178.0,74,3,1,2,312
C100346,2025-07-14,1,2588.0,63,4,1,1,411
C100347,2025-07-06,9,18303.0,71,3,4,4,344
C100348,2025-05-20,3,14839.0,118,3,2,4,324
C100349,2023-11-13,3,6406.0,672,1,2,2,122
C100350,2025-04-01,5,13946.0,167,2,3,4,234
C100352,2025-07-28,3,4116.0,49,4,2,1,421
C100353,2025-01-03,2,2552.0,255,2,1,1,211
C100354,2025-09-11,6,13357.0,4,4,4,3,443
C100355,2024-12-24,2,2752.0,265,2,1,1,211
C100356,2025-02-10,5,12961.0,217,2,3,3,233
C100357,2025-03-28,2,3023.0,171,2,1,1,211
C100358,2025-06-13,6,15395.0,94,3,4,4,344
C100359,2025-01-29,4,4775.0,229,2,2,1,221
C100360,2025-08-18,4,10551.0,28,4,2,3,423
C100361,2025-08-05,4,10424.0,41,4,2,3,423
C100362,2025-05-28,4,11318.0,110,3,2,3,323
C100363,2024-01-24,2,1093.0,600,1,1,1,111
C100364,2025-08-17,7,17306.0,29,4,4,4,444
C100366,2024-10-09,5,9865.0,341,1,3,3,133
C100367,2025-08-09,3,8336.0,37,4,2,2,422
C100368,2025-02-07,5,22992.0,220,2,3,4,234
C100369,2025-06-12,2,2201.0,95,3,1,1,311
C100370,2025-07-27,7,20873.0,50,4,4,4,444
C100371,2023-12-21,4,10749.0,634,1,2,3,123
C100372,2025-05-20,6,8342.0,118,3,4,2,342
C100373,2025-03-27,2,2236.0,172,2,1,1,211
C100374,2025-07-25,3,10803.0,52,4,2,3,423
C100375,2025-09-13,9,17381.0,2,4,4,4,444
C100376,2024-09-15,4,17315.0,365,1,2,4,124
C100377,2025-04-09,3,13302.0,159,2,2,3,223
C100378,2025-07-26,6,15086.0,51,4,4,4,444
C100380,2024-12-15,4,5134.0,274,2,2,1,221
C100381,2025-05-25,7,10449.0,113,3,4,3,343
C100382,2025-04-29,4,8339.0,139,3,2,2,322
C100383,2024-05-11,1,3009.0,492,1,1,1,111
C100384,2024-07-04,3,10758.0,438,1,2,3,123
C100385,2024-11-19,3,4742.0,300,2,2,1,221
C100386,2025-07-28,12,37187.0,49,4,4,4,444
C100387,2024-06-29,2,2166.0,443,1,1,1,111
C100388,2025-05-13,4,6333.0,125,3,2,2,322
C100389,2025-04-12,3,4218.0,156,2,2,1,221
C100390,2025-03-28,2,3869.0,171,2,1,1,211
C100391,2025-07-20,4,12775.0,57,4,2,3,423
C100392,2025-03-25,5,11798.0,174,2,3,3,233
C100393,2024-08-28,3,13706.0,383,1,2,4,124
C100394,2025-07-16,5,13610.0,61,4,3,3,433
C100395,2025-04-08,9,22311.0,160,2,4,4,244
C100396,2025-06-09,5,9029.0,98,3,3,2,332
C100397,2024-12-30,2,1542.0,259,2,1,1,211
C100398,2025-08-23,7,24941.0,23,4,4,4,444
C100399,2023-04-10,1,1331.0,889,1,1,1,111
C100400,2025-09-14,7,17453.0,1,4,4,4,444
C100401,2024-11-13,3,9530.0,306,2,2,3,223
C100402,2025-06-21,7,7868.0,86,3,4,2,342
C100403,2024-11-26,5,6978.0,293,2,3,2,232
C100404,2025-04-07,4,13451.0,161,2,2,3,223
C100405,2025-04-23,3,7565.0,145,3,2,2,322
C100406,2025-03-20,4,6593.0,179,2,2,2,222
C100407,2025-02-22,3,4107.0,205,2,2,1,221
C100408,2024-07-19,2,5565.0,423,1,1,2,112
C100409,2024-06-27,2,3485.0,445,1,1,1,111
C100410,2024-07-18,2,6216.0,424,1,1,2,112
C100411,2025-08-05,8,28275.0,41,4,4,4,444
C100412,2024-06-19,3,5060.0,453,1,2,1,121
C100413,2025-01-05,3,9618.0,253,2,2,3,223
C100414,2025-08-26,4,12030.0,20,4,2,3,423
C100415,2025-04-04,5,15170.0,164,2,3,4,234
C100416,2025-07-30,4,6610.0,47,4,2,2,422
C100417,2025-01-21,3,6626.0,237,2,2,2,222
C100418,2025-04-22,5,7368.0,146,3,3,2,332
C100419,2025-06-26,2,2530.0,81,3,1,1,311
C100420,2024-06-30,3,6503.0,442,1,2,2,122
C100421,2025-04-01,4,5342.0,167,2,2,1,221
C100422,2024-02-11,2,2076.0,582,1,1,1,111
C100424,2025-07-04,1,782.0,73,3,1,1,311
C100425,2023-08-15,6,13094.0,762,1,4,3,143
C100426,2025-09-14,5,11914.0,1,4,3,3,433
C100427,2025-01-27,4,8927.0,231,2,2,2,222
C100428,2025-08-15,4,7071.0,31,4,2,2,422
C100429,2025-04-14,3,3884.0,154,3,2,1,321
C100430,2024-07-17,4,13444.0,425,1,2,3,123
C100431,2025-02-01,2,4213.0,226,2,1,1,211
C100432,2025-03-27,4,9081.0,172,2,2,2,222
C100433,2025-07-28,8,26524.0,49,4,4,4,444
C100434,2024-10-24,2,4288.0,326,1,1,1,111
C100435,2024-05-04,2,7441.0,499,1,1,2,112
C100436,2025-09-10,2,8570.0,5,4,1,2,412
C100437,2025-01-28,5,8559.0,230,2,3,2,232
C100438,2025-07-11,3,14643.0,66,4,2,4,424
C100439,2025-03-24,3,4598.0,175,2,2,1,221
C100440,2025-08-08,7,24375.0,38,4,4,4,444
C100441,2025-07-18,6,24527.0,59,4,4,4,444
C100442,2025-08-31,5,9732.0,15,4,3,3,433
C100443,2025-04-25,6,13687.0,143,3,4,4,344
C100444,2025-06-22,4,9509.0,85,3,2,3,323
C100445,2024-11-26,6,20381.0,293,2,4,4,244
C100446,2025-08-10,5,14110.0,36,4,3,4,434
C100447,2025-03-14,4,6972.0,185,2,2,2,222
C100448,2025-09-14,4,6305.0,1,4,2,2,422
C100449,2025-02-20,5,13658.0,207,2,3,4,234
C100451,2023-07-12,1,1248.0,796,1,1,1,111
C100452,2025-08-20,6,18246.0,26,4,4,4,444
C100453,2025-02-08,4,17601.0,219,2,2,4,224
C100454,2024-10-13,3,3549.0,337,1,2,1,121
C100455,2025-04-20,4,11896.0,148,3,2,3,323
C100456,2024-10-30,4,6433.0,320,1,2,2,122
C100457,2024-08-28,2,11156.0,383,1,1,3,113
C100458,2024-09-21,4,14756.0,359,1,2,4,124
C100459,2023-03-18,3,5060.0,912,1,2,1,121
C100460,2025-06-05,4,7535.0,102,3,2,2,322
C100461,2025-06-04,4,9052.0,103,3,2,2,322
C100462,2024-05-31,4,8591.0,472,1,2,2,122
C100463,2024-12-29,6,12480.0,260,2,4,3,243
C100464,2025-08-09,5,23858.0,37,4,3,4,434
C100465,2025-06-29,5,14681.0,78,3,3,4,334
C100466,2024-12-25,2,5906.0,264,2,1,2,212
C100467,2023-09-30,2,4960.0,716,1,1,1,111
C100468,2024-06-15,2,6493.0,457,1,1,2,112
C100469,2024-05-03,2,8366.0,500,1,1,2,112
C100470,2025-08-27,5,13824.0,19,4,3,4,434
C100471,2025-08-15,3,5652.0,31,4,2,2,422
C100472,2025-09-14,5,13104.0,1,4,3,3,433
C100473,2025-08-03,3,2806.0,43,4,2,1,421
C100474,2025-09-11,5,10504.0,4,4,3,3,433
C100475,2025-04-16,4,9842.0,152,3,2,3,323
C100476,2025-07-04,1,460.0,73,3,1,1,311
C100477,2025-07-31,4,7632.0,46,4,2,2,422
C100478,2025-08-12,2,2319.0,34,4,1,1,411
C100479,2025-09-10,2,2609.0,5,4,1,1,411
C100480,2025-03-10,5,14390.0,189,2,3,4,234
C100481,2025-07-04,1,1162.0,73,3,1,1,311
C100482,2025-04-09,4,7588.0,159,2,2,2,222
C100483,2025-04-10,3,13874.0,158,2,2,4,224
C100484,2023-09-17,1,639.0,729,1,1,1,111
C100485,2025-06-21,4,3680.0,86,3,2,1,321
C100486,2025-09-03,3,5292.0,12,4,2,1,421
C100487,2025-02-22,4,3413.0,205,2,2,1,221
C100488,2025-07-27,3,5118.0,50,4,2,1,421
C100489,2025-01-01,3,5126.0,257,2,2,1,221
C100490,2024-10-19,1,2408.0,331,1,1,1,111
C100491,2025-03-18,5,8950.0,181,2,3,2,232
C100492,2025-07-27,6,9816.0,50,4,4,3,443
C100493,2025-05-26,4,8356.0,112,3,2,2,322
C100494,2025-08-09,4,10400.0,37,4,2,3,423
C100495,2023-04-05,1,7260.0,894,1,1,2,112
C100496,2025-01-18,5,16510.0,240,2,3,4,234
C100497,2025-08-11,6,7825.0,35,4,4,2,442
C100498,2025-06-06,2,4158.0,101,3,1,1,311
C100499,2024-11-07,4,9003.0,312,2,2,2,222
C100500,2024-07-12,3,3752.0,430,1,2,1,121
C100501,2025-04-13,4,7682.0,155,3,2,2,322
C100502,2025-06-02,4,15777.0,105,3,2,4,324
C100503,2025-08-09,5,9067.0,37,4,3,2,432
C100504,2025-07-01,2,6000.0,76,3,1,2,312
C100505,2025-09-01,4,12973.0,14,4,2,3,423
C100506,2025-08-04,3,14472.0,42,4,2,4,424
C100507,2025-05-27,3,10008.0,111,3,2,3,323
