order_id,order_date,customer_id,product,category,quantity,price,sales,cost,profit,age,gender,region,year,month,month_year
O202882,2025-03-04,C100084,LED Lamp,Home,1,527.0,527.0,435,92,20,Female,South,2025,3,2025-03
O204957,2025-02-19,C101647,Earbuds X1,Electronics,1,1468.0,1468.0,1041,427,32,Male,Central,2025,2,2025-02
O203508,2024-08-12,C100760,Earbuds X1,Electronics,3,1961.0,5883.0,3934,1949,37,Male,North,2024,8,2024-08
O201183,2023-02-25,C101737,LED Lamp,Home,2,557.0,1114.0,913,201,42,Female,East,2023,2,2023-02
O200483,2025-09-07,C101074,Slim Jeans,Clothing,2,743.0,1486.0,1160,326,41,Unknown,North,2025,9,2025-09
O203881,2024-09-30,C101643,Slim Jeans,Clothing,4,813.0,3252.0,2523,729,49,Female,East,2024,9,2024-09
O205263,2023-04-14,C101347,Portable Charger,Electronics,4,1972.0,7888.0,6160,1728,34,Female,North,2023,4,2023-04
O205058,2025-07-13,C102295,Slim Jeans,Clothing,3,590.0,1770.0,1412,358,26,Female,Central,2025,7,2025-07
O203194,2024-04-10,C101538,Ceramic Mug,Home,3,1228.0,3684.0,2960,724,36,Female,East,2024,4,2024-04
O205440,2025-02-02,C100007,T-Shirt Classic,Clothing,2,1588.0,3176.0,2201,975,42,Female,South,2025,2,2025-02
O208925,2024-06-01,C101212,Bed Sheet Set,Home,1,992.0,992.0,599,393,45,Male,South,2024,6,2024-06
O202519,2023-03-25,C100997,Portable Charger,Electronics,1,1759.0,1759.0,1457,302,59,Male,Central,2023,3,2023-03
O203526,2024-11-23,C101798,Phone Case,Electronics,2,588.0,1176.0,854,322,57,Female,East,2024,11,2024-11
O201149,2024-11-02,C102133,Portable Charger,Electronics,3,1788.0,5364.0,4291,1073,40,Female,South,2024,11,2024-11
O203288,2023-03-01,C101729,Water Bottle,Sports,2,1096.0,2192.0,1421,771,23,Male,Central,2023,3,2023-03
O202698,2023-04-17,C100769,T-Shirt Classic,Clothing,2,1714.0,3428.0,2368,1060,39,Male,West,2023,4,2023-04
O208076,2024-11-03,C100303,T-Shirt Classic,Clothing,3,1902.0,5706.0,4275,1431,23,Female,South,2024,11,2024-11
O200647,2025-06-30,C102103,Throw Pillow,Home,2,638.0,1276.0,1050,226,45,Male,Central,2025,6,2025-06
O206202,2024-03-25,C100625,Hoodie Cozy,Clothing,2,968.0,1936.0,1628,308,53,Female,South,2024,3,2024-03
O204375,2025-09-10,C102000,Sneakers Lite,Clothing,2,866.0,1732.0,1328,404,31,Female,Central,2025,9,2025-09
O207596,2024-12-27,C102030,Hoodie Cozy,Clothing,1,1814.0,1814.0,1524,290,25,Female,South,2024,12,2024-12
O205700,2024-02-22,C102153,Bluetooth Speaker,Electronics,3,1860.0,5580.0,3624,1956,28,Male,South,2024,2,2024-02
O202709,2024-01-02,C101972,LED Lamp,Home,2,407.0,814.0,639,175,18,Male,West,2024,1,2024-01
O209386,2024-06-29,C101422,Yoga Mat,Sports,2,438.0,876.0,578,298,57,Male,South,2024,6,2024-06
O209429,2024-06-10,C101222,Portable Charger,Electronics,1,2428.0,2428.0,1757,671,34,Female,West,2024,6,2024-06
O200107,2023-09-28,C102475,Yoga Mat,Sports,7,527.0,3689.0,2446,1243,53,Female,Central,2023,9,2023-09
O200080,2024-05-23,C101484,Throw Pillow,Home,2,450.0,900.0,561,339,59,Male,West,2024,5,2024-05
O200932,2023-09-16,C100355,T-Shirt Classic,Clothing,1,1658.0,1658.0,1038,620,29,Female,Central,2023,9,2023-09
O200035,2023-09-10,C102051,Phone Case,Electronics,3,862.0,2586.0,2123,463,51,Male,East,2023,9,2023-09
O201626,2023-12-27,C100048,Slim Jeans,Clothing,2,477.0,954.0,609,345,47,Female,Central,2023,12,2023-12
O201247,2023-07-31,C100320,Bluetooth Speaker,Electronics,3,1653.0,4959.0,3787,1172,33,Male,South,2023,7,2023-07
O206496,2024-01-13,C102222,Lip Balm,Beauty,1,1148.0,1148.0,839,309,50,Unknown,North,2024,1,2024-01
O207971,2024-02-04,C101960,Ceramic Mug,Home,4,1436.0,5744.0,4175,1569,47,Female,Central,2024,2,2024-02
O206535,2024-11-18,C101512,Smartwatch Pro,Electronics,3,1065.0,3195.0,2332,863,29,Male,North,2024,11,2024-11
O204584,2025-04-26,C101596,Bluetooth Speaker,Electronics,3,2496.0,7488.0,4790,2698,18,Male,Central,2025,4,2025-04
O200965,2023-05-25,C100378,Dumbbell 5kg,Sports,4,1074.0,4296.0,3037,1259,29,Female,South,2023,5,2023-05
O203905,2023-05-11,C100936,Slim Jeans,Clothing,2,657.0,1314.0,1035,279,30,Female,South,2023,5,2023-05
O202864,2023-11-01,C100690,Face Serum,Beauty,4,512.0,2048.0,1363,685,51,Female,South,2023,11,2023-11
O209982,2024-02-25,C100440,Throw Pillow,Home,4,571.0,2284.0,1591,693,57,Male,East,2024,2,2024-02
O209463,2023-12-10,C101111,Face Serum,Beauty,2,578.0,1156.0,833,323,53,Female,South,2023,12,2023-12
O203244,2023-06-13,C100899,T-Shirt Classic,Clothing,2,1915.0,3830.0,2613,1217,51,Female,West,2023,6,2023-06
O208409,2025-06-28,C102114,Sunscreen SPF50,Beauty,3,597.0,1791.0,1078,713,50,Male,South,2025,6,2025-06
O204812,2025-06-21,C102146,Lip Balm,Beauty,4,1112.0,4448.0,3752,696,59,Female,East,2025,6,2025-06
O202592,2024-06-15,C100315,Throw Pillow,Home,1,573.0,573.0,370,203,48,Female,South,2024,6,2024-06
O200450,2024-04-25,C100564,Yoga Mat,Sports,4,414.0,1656.0,1250,406,42,Female,West,2024,4,2024-04
O201658,2024-08-12,C101569,Yoga Mat,Sports,5,373.0,1865.0,1575,290,36,Female,South,2024,8,2024-08
O202303,2024-11-06,C100987,Sunscreen SPF50,Beauty,4,409.0,1636.0,1103,533,43,Male,North,2024,11,2024-11
O207325,2025-02-17,C102069,Ceramic Mug,Home,1,1229.0,1229.0,1040,189,34,Female,South,2025,2,2025-02
O206829,2025-03-04,C102060,Dumbbell 5kg,Sports,7,908.0,6356.0,3939,2417,34,Male,South,2025,3,2025-03
O208874,2023-11-21,C101149,Lip Balm,Beauty,3,704.0,2112.0,1508,604,37,Male,South,2023,11,2023-11
O202948,2024-10-05,C100688,T-Shirt Classic,Clothing,2,1047.0,2094.0,1608,486,45,Female,North,2024,10,2024-10
O205421,2025-01-23,C100407,Face Serum,Beauty,2,429.0,858.0,667,191,28,Male,East,2025,1,2025-01
O204947,2024-09-21,C101483,Smartwatch Pro,Electronics,4,1148.0,4592.0,3368,1224,45,Male,West,2024,9,2024-09
O201175,2025-07-11,C101527,Hoodie Cozy,Clothing,2,1791.0,3582.0,2157,1425,35,Other,North,2025,7,2025-07
O200251,2023-11-14,C101169,Smartwatch Pro,Electronics,1,1444.0,1444.0,1221,223,60,Female,East,2023,11,2023-11
O203058,2025-07-25,C100329,Sneakers Lite,Clothing,3,1102.0,3306.0,2175,1131,30,Female,Central,2025,7,2025-07
O208602,2023-02-06,C100515,Phone Case,Electronics,1,852.0,852.0,522,330,49,Male,West,2023,2,2023-02
O206539,2024-01-01,C102376,Throw Pillow,Home,1,470.0,470.0,353,117,37,Female,South,2024,1,2024-01
O201765,2025-07-28,C101209,Hoodie Cozy,Clothing,5,1141.0,5705.0,4719,986,19,Male,North,2025,7,2025-07
O205437,2025-09-07,C101923,Earbuds X1,Electronics,1,2401.0,2401.0,1611,790,49,Male,South,2025,9,2025-09
O207983,2025-06-30,C100256,Lip Balm,Beauty,3,593.0,1779.0,1233,546,41,Female,North,2025,6,2025-06
O209132,2023-10-05,C100456,Bed Sheet Set,Home,1,751.0,751.0,539,212,31,Female,East,2023,10,2023-10
O201078,2024-07-31,C101773,Lip Balm,Beauty,1,775.0,775.0,617,158,54,Male,West,2024,7,2024-07
O201408,2025-03-08,C101721,Face Serum,Beauty,1,602.0,602.0,380,222,57,Male,North,2025,3,2025-03
O200039,2024-04-19,C101443,Hoodie Cozy,Clothing,3,1741.0,5223.0,3875,1348,21,Female,South,2024,4,2024-04
O202615,2023-07-05,C100229,Bluetooth Speaker,Electronics,2,2150.0,4300.0,3470,830,56,Female,South,2023,7,2023-07
O209902,2024-12-20,C100951,T-Shirt Classic,Clothing,3,981.0,2943.0,2093,850,40,Male,East,2024,12,2024-12
O208124,2025-01-21,C101037,Portable Charger,Electronics,3,2234.0,6702.0,4382,2320,24,Female,East,2025,1,2025-01
O207169,2023-07-05,C101238,Bluetooth Speaker,Electronics,2,2352.0,4704.0,3534,1170,38,Male,West,2023,7,2023-07
O205368,2023-09-29,C101745,LED Lamp,Home,4,797.0,3188.0,2377,811,44,Male,South,2023,9,2023-09
O208579,2024-07-16,C100037,T-Shirt Classic,Clothing,1,1310.0,1310.0,1042,268,22,Male,West,2024,7,2024-07
O207749,2024-11-22,C101196,Hoodie Cozy,Clothing,3,923.0,2769.0,2090,679,53,Male,East,2024,11,2024-11
O204633,2023-07-23,C100734,Throw Pillow,Home,4,611.0,2444.0,1647,797,48,Female,West,2023,7,2023-07
O203955,2025-04-21,C101219,Ceramic Mug,Home,1,1142.0,1142.0,820,322,21,Female,South,2025,4,2025-04
O207201,2025-01-18,C102311,LED Lamp,Home,4,698.0,2792.0,2084,708,26,Male,Central,2025,1,2025-01
O203933,2023-01-28,C102285,Sneakers Lite,Clothing,1,1132.0,1132.0,706,426,41,Female,North,2023,1,2023-01
O206771,2024-01-15,C101681,Yoga Mat,Sports,1,281.0,281.0,199,82,29,Male,East,2024,1,2024-01
O206669,2023-07-01,C101436,Hoodie Cozy,Clothing,1,1736.0,1736.0,1270,466,29,Female,Central,2023,7,2023-07
O204265,2024-05-22,C102290,Earbuds X1,Electronics,2,2312.0,4624.0,2969,1655,22,Female,North,2024,5,2024-05
O205653,2023-02-01,C101170,Sneakers Lite,Clothing,1,1557.0,1557.0,1080,477,51,Male,West,2023,2,2023-02
O201190,2023-01-26,C101435,LED Lamp,Home,2,660.0,1320.0,951,369,59,Female,North,2023,1,2023-01
O206151,2024-07-20,C100626,Sneakers Lite,Clothing,3,998.0,2994.0,2112,882,33,Male,South,2024,7,2024-07
O201147,2024-10-28,C101205,Lip Balm,Beauty,4,1107.0,4428.0,3244,1184,38,Male,North,2024,10,2024-10
O202758,2025-05-01,C101855,Dumbbell 5kg,Sports,5,1025.0,5125.0,3158,1967,37,Female,South,2025,5,2025-05
O208052,2025-08-28,C102309,Dumbbell 5kg,Sports,2,1038.0,2076.0,1626,450,25,Male,East,2025,8,2025-08
O209774,2023-09-10,C100752,Slim Jeans,Clothing,1,607.0,607.0,412,195,49,Male,South,2023,9,2023-09
O209856,2023-08-01,C100517,Sunscreen SPF50,Beauty,1,606.0,606.0,492,114,21,Male,Central,2023,8,2023-08
O202754,2023-06-27,C102231,Bed Sheet Set,Home,1,568.0,568.0,457,111,52,Female,South,2023,6,2023-06
O204825,2025-05-13,C102368,Hoodie Cozy,Clothing,4,1321.0,5284.0,3708,1576,22,Female,South,2025,5,2025-05
O208719,2025-01-18,C101225,LED Lamp,Home,1,668.0,668.0,492,176,52,Female,West,2025,1,2025-01
O202392,2024-07-15,C101186,Smartwatch Pro,Electronics,2,1538.0,3076.0,2215,861,50,Male,North,2024,7,2024-07
O202515,2023-09-08,C101741,Earbuds X1,Electronics,1,1923.0,1923.0,1245,678,35,Female,North,2023,9,2023-09
O202678,2024-08-14,C100463,Portable Charger,Electronics,3,1904.0,5712.0,4803,909,35,Male,North,2024,8,2024-08
O200373,2023-08-21,C102443,Smartwatch Pro,Electronics,2,1511.0,3022.0,2169,853,48,Male,East,2023,8,2023-08
O200655,2023-09-11,C101849,Face Serum,Beauty,3,807.0,2421.0,1557,864,24,Male,North,2023,9,2023-09
O201156,2023-01-05,C102147,Dumbbell 5kg,Sports,3,718.0,2154.0,1413,741,38,Male,Central,2023,1,2023-01
O206791,2025-02-01,C100829,Ceramic Mug,Home,1,1014.0,1014.0,851,163,59,Male,South,2025,2,2025-02
O207433,2025-06-05,C100176,Sneakers Lite,Clothing,2,1135.0,2270.0,1746,524,44,Female,West,2025,6,2025-06
O204562,2023-10-21,C101786,Sneakers Lite,Clothing,2,1068.0,2136.0,1444,692,37,Female,West,2023,10,2023-10
O207845,2024-02-14,C101462,Sneakers Lite,Clothing,4,1482.0,5928.0,4767,1161,34,Female,South,2024,2,2024-02
O205649,2024-07-24,C100354,Bed Sheet Set,Home,3,523.0,1569.0,950,619,26,Female,West,2024,7,2024-07
O204205,2024-04-04,C102074,Water Bottle,Sports,2,839.0,1678.0,1350,328,33,Female,East,2024,4,2024-04
O202867,2023-10-18,C100892,Dumbbell 5kg,Sports,1,1270.0,1270.0,1030,240,38,Male,South,2023,10,2023-10
O203251,2023-08-26,C100381,Dumbbell 5kg,Sports,1,921.0,921.0,627,294,38,Male,East,2023,8,2023-08
O203245,2023-04-05,C101189,Throw Pillow,Home,1,680.0,680.0,511,169,55,Female,Central,2023,4,2023-04
O202602,2023-04-27,C100843,Hoodie Cozy,Clothing,1,1349.0,1349.0,855,494,28,Female,West,2023,4,2023-04
O203434,2025-08-12,C101417,Throw Pillow,Home,6,566.0,3396.0,2347,1049,22,Male,West,2025,8,2025-08
O209576,2023-07-19,C101737,Dumbbell 5kg,Sports,1,1046.0,1046.0,678,368,40,Male,East,2023,7,2023-07
O204503,2023-04-23,C101142,Portable Charger,Electronics,2,2067.0,4134.0,3005,1129,51,Male,South,2023,4,2023-04
O205508,2025-06-08,C101541,Water Bottle,Sports,2,675.0,1350.0,923,427,36,Male,North,2025,6,2025-06
O207871,2024-01-16,C102339,Sneakers Lite,Clothing,2,1582.0,3164.0,2298,866,39,Female,East,2024,1,2024-01
O200388,2025-08-25,C101570,Face Serum,Beauty,1,394.0,394.0,249,145,42,Female,Central,2025,8,2025-08
O209058,2024-03-21,C100832,Ceramic Mug,Home,4,949.0,3796.0,2748,1048,31,Male,East,2024,3,2024-03
O203274,2023-04-02,C100745,Phone Case,Electronics,2,570.0,1140.0,868,272,25,Female,North,2023,4,2023-04
O206607,2024-12-09,C100981,Hoodie Cozy,Clothing,4,1194.0,4776.0,3664,1112,41,Male,East,2024,12,2024-12
O200259,2025-04-06,C101607,Face Serum,Beauty,3,436.0,1308.0,876,432,41,Male,South,2025,4,2025-04
O200346,2025-05-21,C100687,Bed Sheet Set,Home,3,972.0,2916.0,2146,770,59,Male,Central,2025,5,2025-05
O208278,2025-07-08,C102358,Bluetooth Speaker,Electronics,2,2122.0,4244.0,3187,1057,27,Male,North,2025,7,2025-07
O201595,2024-04-19,C101726,Hoodie Cozy,Clothing,2,1328.0,2656.0,2207,449,19,Male,East,2024,4,2024-04
O206586,2024-05-22,C100916,LED Lamp,Home,1,597.0,597.0,381,216,33,Male,Central,2024,5,2024-05
O203032,2025-03-15,C101004,Earbuds X1,Electronics,3,1370.0,4110.0,2517,1593,18,Male,East,2025,3,2025-03
O209021,2025-06-10,C102377,Phone Case,Electronics,3,721.0,2163.0,1692,471,21,Male,South,2025,6,2025-06
O200532,2024-11-15,C101013,Yoga Mat,Sports,3,334.0,1002.0,813,189,21,Female,North,2024,11,2024-11
O209969,2023-12-21,C101985,Bluetooth Speaker,Electronics,1,2028.0,2028.0,1654,374,48,Male,West,2023,12,2023-12
O209946,2023-09-11,C101074,Face Serum,Beauty,2,436.0,872.0,623,249,34,Male,North,2023,9,2023-09
O206543,2025-02-05,C101022,Dumbbell 5kg,Sports,2,1137.0,2274.0,1620,654,28,Female,South,2025,2,2025-02
O203397,2025-02-02,C100761,Smartwatch Pro,Electronics,2,1061.0,2122.0,1794,328,60,Female,South,2025,2,2025-02
O206590,2024-08-20,C101516,Slim Jeans,Clothing,1,750.0,750.0,555,195,25,Male,South,2024,8,2024-08
O202018,2025-01-08,C101567,Bluetooth Speaker,Electronics,3,1763.0,5289.0,3946,1343,51,Male,East,2025,1,2025-01
O202913,2025-03-25,C100003,Dumbbell 5kg,Sports,2,1040.0,2080.0,1373,707,34,Female,Central,2025,3,2025-03
O205455,2023-06-22,C101300,Smartwatch Pro,Electronics,3,1353.0,4059.0,3370,689,35,Unknown,North,2023,6,2023-06
O205146,2024-06-16,C102151,Earbuds X1,Electronics,1,1367.0,1367.0,1101,266,23,Male,North,2024,6,2024-06
O202109,2025-01-22,C101488,Hoodie Cozy,Clothing,2,1545.0,3090.0,2568,522,32,Female,South,2025,1,2025-01
O205676,2025-04-12,C101565,Yoga Mat,Sports,4,533.0,2132.0,1309,823,49,Female,East,2025,4,2025-04
O203529,2025-06-30,C100761,Earbuds X1,Electronics,1,1929.0,1929.0,1323,474,49,Female,North,2025,6,2025-06
O201731,2023-11-26,C102160,Sneakers Lite,Clothing,3,1422.0,4266.0,2818,1448,53,Male,South,2023,11,2023-11
O207425,2025-02-23,C100601,Bed Sheet Set,Home,2,926.0,1852.0,1454,398,55,Male,North,2025,2,2025-02
O209953,2024-04-03,C101334,Slim Jeans,Clothing,2,531.0,1062.0,802,260,55,Unknown,South,2024,4,2024-04
O207731,2023-08-12,C100846,Phone Case,Electronics,6,599.0,3594.0,2462,1132,19,Female,South,2023,8,2023-08
O208368,2024-05-01,C101218,Sunscreen SPF50,Beauty,4,448.0,1792.0,1493,299,43,Female,East,2024,5,2024-05
O209875,2024-11-14,C101332,Earbuds X1,Electronics,4,1599.0,6396.0,3976,2420,33,Female,South,2024,11,2024-11
O208625,2023-08-02,C102120,Portable Charger,Electronics,1,1613.0,1613.0,1347,266,21,Female,East,2023,8,2023-08
O202707,2025-04-03,C101149,Portable Charger,Electronics,2,1836.0,3672.0,2206,1466,32,Unknown,Central,2025,4,2025-04
O203024,2023-04-18,C100541,Ceramic Mug,Home,4,1217.0,4868.0,3288,1580,28,Male,Central,2023,4,2023-04
O206492,2023-05-09,C100530,Water Bottle,Sports,4,1041.0,4164.0,2830,1334,26,Male,West,2023,5,2023-05
O201937,2024-04-29,C100235,Sunscreen SPF50,Beauty,2,674.0,1348.0,820,528,54,Male,West,2024,4,2024-04
O208785,2023-07-28,C101783,LED Lamp,Home,2,732.0,1464.0,926,538,36,Male,West,2023,7,2023-07
O204381,2024-08-06,C101602,Earbuds X1,Electronics,1,1668.0,1668.0,1372,296,22,Female,North,2024,8,2024-08
O208266,2024-05-16,C100267,Bluetooth Speaker,Electronics,2,2427.0,4854.0,2954,1900,32,Male,South,2024,5,2024-05
O209077,2023-11-06,C100274,Yoga Mat,Sports,4,331.0,1324.0,1036,288,41,Female,West,2023,11,2023-11
O200096,2024-04-21,C100332,Throw Pillow,Home,3,384.0,1152.0,746,406,45,Male,East,2024,4,2024-04
O204395,2024-04-11,C100888,Ceramic Mug,Home,1,907.0,907.0,752,155,38,Male,West,2024,4,2024-04
O209199,2025-02-13,C101570,Phone Case,Electronics,3,543.0,1629.0,1274,355,42,Female,Central,2025,2,2025-02
O202955,2023-04-18,C101348,Face Serum,Beauty,3,408.0,1224.0,1037,187,26,Male,South,2023,4,2023-04
O200119,2023-02-22,C102441,Yoga Mat,Sports,2,485.0,970.0,746,224,40,Male,South,2023,2,2023-02
O202483,2025-05-20,C100295,Ceramic Mug,Home,3,896.0,2688.0,1854,834,44,Male,East,2025,5,2025-05
O206795,2024-12-28,C101762,Earbuds X1,Electronics,4,2445.0,9780.0,7132,2648,50,Male,South,2024,12,2024-12
O202457,2024-04-07,C101731,Bed Sheet Set,Home,2,893.0,1786.0,1367,419,28,Female,West,2024,4,2024-04
O200033,2023-11-10,C101419,Slim Jeans,Clothing,1,589.0,589.0,490,99,35,Male,East,2023,11,2023-11
O208128,2023-07-26,C100105,Portable Charger,Electronics,3,2011.0,6033.0,3864,2169,44,Male,Central,2023,7,2023-07
O207786,2023-05-27,C102275,Bed Sheet Set,Home,2,651.0,1302.0,894,408,49,Male,East,2023,5,2023-05
O202611,2023-10-22,C100416,Throw Pillow,Home,3,645.0,1935.0,1632,303,49,Male,North,2023,10,2023-10
O209013,2023-09-27,C101874,Bluetooth Speaker,Electronics,2,1317.0,2634.0,2113,521,44,Male,North,2023,9,2023-09
O202688,2025-02-14,C102022,Face Serum,Beauty,3,607.0,1821.0,1432,389,33,Female,West,2025,2,2025-02
O207496,2025-08-19,C102201,Dumbbell 5kg,Sports,2,965.0,1930.0,1514,416,20,Female,Central,2025,8,2025-08
O201111,2024-02-05,C101311,Portable Charger,Electronics,2,2585.0,5170.0,4365,805,35,Male,South,2024,2,2024-02
O207691,2025-03-14,C100447,Face Serum,Beauty,2,570.0,1140.0,775,365,45,Male,Central,2025,3,2025-03
O202820,2023-06-10,C100563,Earbuds X1,Electronics,4,2421.0,9684.0,6214,3470,22,Male,East,2023,6,2023-06
O200304,2023-07-03,C102064,T-Shirt Classic,Clothing,3,2012.0,6036.0,4018,2018,51,Male,North,2023,7,2023-07
O202680,2024-08-27,C102426,T-Shirt Classic,Clothing,3,1749.0,5247.0,4067,1180,39,Male,Central,2024,8,2024-08
O207851,2024-05-07,C101271,Earbuds X1,Electronics,2,1988.0,3976.0,3062,914,59,Female,South,2024,5,2024-05
O206309,2025-04-03,C101617,Face Serum,Beauty,2,410.0,820.0,503,317,51,Male,East,2025,4,2025-04
O200031,2023-06-10,C100181,Bluetooth Speaker,Electronics,3,2521.0,7563.0,5527,2036,28,Male,West,2023,6,2023-06
O205710,2023-09-02,C100245,Phone Case,Electronics,1,786.0,786.0,522,264,18,Male,South,2023,9,2023-09
O204472,2023-10-28,C101332,T-Shirt Classic,Clothing,3,1576.0,4728.0,2897,1831,49,Female,East,2023,10,2023-10
O200029,2025-08-13,C101796,Slim Jeans,Clothing,2,501.0,1002.0,625,377,40,Other,South,2025,8,2025-08
O204779,2023-10-31,C102198,Sneakers Lite,Clothing,1,892.0,892.0,604,288,50,Male,East,2023,10,2023-10
O204625,2025-03-16,C101189,Hoodie Cozy,Clothing,4,1222.0,4888.0,3718,1170,36,Male,West,2025,3,2025-03
O201261,2025-02-14,C101065,Portable Charger,Electronics,3,2021.0,6063.0,3925,2138,42,Male,East,2025,2,2025-02
O203827,2024-09-03,C100661,T-Shirt Classic,Clothing,5,1272.0,6360.0,4821,1539,39,Male,South,2024,9,2024-09
O200106,2025-03-26,C100364,Bluetooth Speaker,Electronics,3,1308.0,3924.0,2401,1523,36,Male,East,2025,3,2025-03
O201941,2023-07-19,C102107,Smartwatch Pro,Electronics,2,775.0,1550.0,1147,403,28,Male,South,2023,7,2023-07
O202751,2023-07-03,C100590,Portable Charger,Electronics,2,2074.0,4148.0,2984,1164,31,Male,South,2023,7,2023-07
O201803,2025-03-15,C100197,Bed Sheet Set,Home,3,557.0,1671.0,1257,414,20,Female,West,2025,3,2025-03
O200764,2025-03-08,C102300,Portable Charger,Electronics,2,1515.0,3030.0,2066,964,39,Male,North,2025,3,2025-03
O204572,2023-03-14,C100552,Hoodie Cozy,Clothing,3,953.0,2859.0,2322,537,45,Male,Central,2023,3,2023-03
O201877,2024-07-01,C100801,Phone Case,Electronics,4,467.0,1868.0,1150,718,42,Male,West,2024,7,2024-07
O204786,2025-01-31,C102417,LED Lamp,Home,1,498.0,498.0,398,100,36,Male,West,2025,1,2025-01
O204419,2024-07-08,C101652,Phone Case,Electronics,3,703.0,2109.0,1542,567,42,Other,North,2024,7,2024-07
O209342,2024-05-15,C100050,Water Bottle,Sports,1,824.0,824.0,498,326,42,Male,East,2024,5,2024-05
O209760,2025-01-31,C101477,Water Bottle,Sports,2,1071.0,2142.0,1572,570,28,Female,South,2025,1,2025-01
O200735,2024-02-24,C100061,LED Lamp,Home,1,766.0,766.0,573,193,35,Female,East,2024,2,2024-02
O201360,2025-07-07,C101259,Bed Sheet Set,Home,2,944.0,1888.0,1571,317,54,Male,East,2025,7,2025-07
O208231,2023-06-30,C101987,Slim Jeans,Clothing,3,762.0,2286.0,1769,517,30,Female,South,2023,6,2023-06
O203666,2025-08-31,C100442,LED Lamp,Home,2,408.0,816.0,679,137,39,Female,South,2025,8,2025-08
O202609,2025-07-20,C100045,Phone Case,Electronics,2,646.0,1292.0,971,321,55,Male,North,2025,7,2025-07
O200568,2023-09-21,C101244,Hoodie Cozy,Clothing,2,1411.0,2822.0,1834,988,45,Male,West,2023,9,2023-09
O201737,2024-09-15,C100376,Yoga Mat,Sports,1,550.0,550.0,443,107,26,Male,South,2024,9,2024-09
O209153,2023-02-28,C100425,Sunscreen SPF50,Beauty,3,483.0,1449.0,925,524,20,Male,South,2023,2,2023-02
O207034,2023-01-02,C101677,T-Shirt Classic,Clothing,4,1103.0,4412.0,2753,1659,36,Female,North,2023,1,2023-01
O201418,2023-05-12,C100968,Face Serum,Beauty,2,580.0,1160.0,634,172,49,Male,South,2023,5,2023-05
O202245,2024-08-11,C102243,Sunscreen SPF50,Beauty,2,442.0,884.0,691,193,30,Unknown,North,2024,8,2024-08
O201833,2025-03-31,C100789,Earbuds X1,Electronics,3,1398.0,4194.0,2798,1396,36,Female,West,2025,3,2025-03
O206862,2024-03-21,C101990,Hoodie Cozy,Clothing,4,1693.0,6772.0,4459,2313,51,Female,North,2024,3,2024-03
O203378,2023-06-22,C100171,Lip Balm,Beauty,5,800.0,4000.0,2647,1353,54,Male,South,2023,6,2023-06
